date,station,swe_name,lat_name,count,factor
2010-06-15,Stockholm,Gräs,Poaceae,7,1.2
2010-06-15,Stockholm,Ek,Quercus,1,1.2
2010-06-15,Eskilstuna,Björk,Betula,2,1.2
2010-06-15,Eskilstuna,Gräs,Poaceae,7,1.2
2010-06-14,Norrköping,Gräs,Poaceae,10,1.2
2010-06-15,Norrköping,Björk,Betula,1,1.2
2010-06-15,Norrköping,Gräs,Poaceae,17,1.2
2010-06-15,Norrköping,Ek,Quercus,1,1.2
2010-06-14,Jönköping,Gräs,Poaceae,3,1.2
2010-06-15,Jönköping,Björk,Betula,1,1.2
2010-06-15,Jönköping,Gräs,Poaceae,5,1.2
2010-06-14,Västervik,Björk,Betula,1,1.25
2010-06-14,Västervik,Gräs,Poaceae,4,1.25
2010-06-14,Västervik,Ek,Quercus,2,1.25
2010-06-15,Västervik,Björk,Betula,1,1.25
2010-06-15,Västervik,Gräs,Poaceae,1,1.25
2010-06-15,Västervik,Ek,Quercus,1,1.25
2010-06-09,Umeå,Björk,Betula,2,1.1
2010-06-09,Umeå,Gräs,Poaceae,1,1.1
2010-06-10,Umeå,Björk,Betula,18,1.1
2010-06-11,Umeå,Björk,Betula,4,1.1
2010-06-11,Umeå,Sälg och viden,Salix,2,1.1
2010-06-12,Umeå,Björk,Betula,22,1.1
2010-06-12,Umeå,Sälg och viden,Salix,3,1.1
2010-06-13,Umeå,Björk,Betula,1,1.1
2010-06-14,Umeå,Björk,Betula,1,1.1
2010-06-16,Stockholm,Björk,Betula,7,1.2
2010-06-16,Stockholm,Gräs,Poaceae,20,1.2
2010-06-16,Eskilstuna,Björk,Betula,3,1.2
2010-06-16,Eskilstuna,Gräs,Poaceae,24,1.2
