date,station,swe_name,lat_name,count,factor
2010-05-22,Stockholm,Ek,Quercus,667,1.2
2010-05-22,Stockholm,Sälg och viden,Salix,6,1.2
2010-05-23,Stockholm,Al,Alnus,1,1.2
2010-05-23,Stockholm,Björk,Betula,17,1.2
2010-05-23,Stockholm,Gräs,Poaceae,1,1.2
2010-05-23,Stockholm,Ek,Quercus,218,1.2
2010-05-23,Stockholm,Sälg och viden,Salix,6,1.2
2010-05-23,Stockholm,Alm,Ulmus,2,1.2
2010-05-21,Västervik,Al,Alnus,1,1.25
2010-05-21,Västervik,Björk,Betula,31,1.25
2010-05-21,Västervik,Gräs,Poaceae,1,1.25
2010-05-21,Västervik,Ek,Quercus,14,1.25
2010-05-21,Västervik,Sälg och viden,Salix,3,1.25
2010-05-22,Västervik,Al,Alnus,1,1.25
2010-05-22,Västervik,Björk,Betula,16,1.25
2010-05-22,Västervik,Ek,Quercus,4,1.25
2010-05-22,Västervik,Sälg och viden,Salix,2,1.25
2010-05-23,Västervik,Björk,Betula,44,1.25
2010-05-23,Västervik,Ek,Quercus,59,1.25
2010-05-23,Västervik,Sälg och viden,Salix,35,1.25
2010-05-21,Jönköping,Björk,Betula,8,1.2
2010-05-22,Jönköping,Björk,Betula,17,1.2
2010-05-22,Jönköping,Ek,Quercus,2,1.2
2010-05-22,Jönköping,Sälg och viden,Salix,6,1.2
2010-05-23,Jönköping,Björk,Betula,71,1.2
2010-05-23,Jönköping,Gräs,Poaceae,3,1.2
2010-05-23,Jönköping,Ek,Quercus,10,1.2
2010-05-21,Eskilstuna,Björk,Betula,22,1.2
2010-05-21,Eskilstuna,Ek,Quercus,486,1.2
2010-05-21,Eskilstuna,Sälg och viden,Salix,3,1.2
2010-05-22,Eskilstuna,Björk,Betula,8,1.2
2010-05-22,Eskilstuna,Gräs,Poaceae,1,1.2
2010-05-22,Eskilstuna,Ek,Quercus,446,1.2
2010-05-22,Eskilstuna,Sälg och viden,Salix,3,1.2
2010-05-23,Eskilstuna,Björk,Betula,9,1.2
2010-05-23,Eskilstuna,Gräs,Poaceae,1,1.2
2010-05-23,Eskilstuna,Ek,Quercus,207,1.2
2010-05-23,Eskilstuna,Sälg och viden,Salix,32,1.2
2010-05-21,Norrköping,Björk,Betula,12,1.2
2010-05-21,Norrköping,Ek,Quercus,32,1.2
2010-05-21,Norrköping,Sälg och viden,Salix,3,1.2
2010-05-22,Norrköping,Björk,Betula,10,1.2
2010-05-22,Norrköping,Ek,Quercus,162,1.2
2010-05-22,Norrköping,Sälg och viden,Salix,4,1.2
2010-05-23,Norrköping,Björk,Betula,62,1.2
2010-05-23,Norrköping,Gräs,Poaceae,1,1.2
2010-05-23,Norrköping,Ek,Quercus,287,1.2
2010-05-23,Norrköping,Sälg och viden,Salix,2,1.2
2010-05-18,Umeå,Björk,Betula,635,1.1
2010-05-18,Umeå,Sälg och viden,Salix,3,1.1
2010-05-18,Umeå,Alm,Ulmus,1,1.1
2010-05-19,Umeå,Björk,Betula,418,1.1
2010-05-20,Umeå,Björk,Betula,485,1.1
2010-05-20,Umeå,Sälg och viden,Salix,4,1.1
2010-05-24,Stockholm,Björk,Betula,12,1.2
2010-05-24,Stockholm,Ek,Quercus,78,1.2
2010-05-24,Stockholm,Sälg och viden,Salix,3,1.2
2010-05-24,Eskilstuna,Björk,Betula,11,1.2
2010-05-24,Eskilstuna,Ek,Quercus,50,1.2
2010-05-25,Stockholm,Björk,Betula,7,1.2
2010-05-25,Stockholm,Gräs,Poaceae,2,1.2
2010-05-25,Stockholm,Ek,Quercus,57,1.2
2010-05-25,Eskilstuna,Björk,Betula,1,1.2
2010-05-25,Eskilstuna,Ek,Quercus,10,1.2
2010-05-24,Jönköping,Björk,Betula,12,1.2
2010-05-24,Jönköping,Gräs,Poaceae,1,1.2
2010-05-24,Jönköping,Ek,Quercus,20,1.2
2010-05-24,Jönköping,Sälg och viden,Salix,2,1.2
2010-05-25,Jönköping,Björk,Betula,10,1.2
2010-05-25,Jönköping,Gräs,Poaceae,1,1.2
2010-05-25,Jönköping,Ek,Quercus,18,1.2
2010-05-25,Jönköping,Sälg och viden,Salix,1,1.2
2010-05-24,Västervik,Björk,Betula,7,1.25
2010-05-24,Västervik,Ek,Quercus,28,1.25
2010-05-24,Västervik,Sälg och viden,Salix,3,1.25
2010-05-25,Västervik,Björk,Betula,11,1.25
2010-05-25,Västervik,Gräs,Poaceae,1,1.25
2010-05-25,Västervik,Ek,Quercus,83,1.25
2010-05-25,Västervik,Sälg och viden,Salix,3,1.25
2010-05-24,Norrköping,Björk,Betula,5,1.2
2010-05-24,Norrköping,Ek,Quercus,107,1.2
2010-05-24,Norrköping,Sälg och viden,Salix,3,1.2
2010-05-25,Norrköping,Ek,Quercus,62,1.2
2010-05-25,Norrköping,Sälg och viden,Salix,1,1.2
2010-05-26,Stockholm,Björk,Betula,16,1.2
2010-05-26,Stockholm,Gräs,Poaceae,4,1.2
2010-05-26,Stockholm,Ek,Quercus,61,1.2
2010-05-26,Stockholm,Sälg och viden,Salix,2,1.2
2010-05-26,Eskilstuna,Björk,Betula,7,1.2
2010-05-26,Eskilstuna,Gräs,Poaceae,1,1.2
2010-05-26,Eskilstuna,Ek,Quercus,14,1.2
2010-05-26,Eskilstuna,Sälg och viden,Salix,2,1.2
2010-05-21,Umeå,Björk,Betula,193,1.1
2010-05-21,Umeå,Sälg och viden,Salix,10,1.1
2010-05-22,Umeå,Björk,Betula,146,1.1
2010-05-22,Umeå,Sälg och viden,Salix,10,1.1
2010-05-23,Umeå,Björk,Betula,57,1.1
2010-05-23,Umeå,Sälg och viden,Salix,9,1.1
2010-05-24,Umeå,Björk,Betula,99,1.1
2010-05-24,Umeå,Sälg och viden,Salix,42,1.1
2010-05-25,Umeå,Sälg och viden,Salix,2,1.1
2010-05-26,Umeå,Björk,Betula,21,1.1
2010-05-26,Umeå,Sälg och viden,Salix,17,1.1
2010-05-27,Stockholm,Björk,Betula,3,1.2
2010-05-27,Stockholm,Gräs,Poaceae,1,1.2
2010-05-27,Stockholm,Ek,Quercus,54,1.2
2010-05-27,Stockholm,Sälg och viden,Salix,2,1.2
2010-05-26,Norrköping,Björk,Betula,5,1.2
2010-05-26,Norrköping,Ek,Quercus,14,1.2
2010-05-27,Norrköping,Björk,Betula,1,1.2
2010-05-27,Norrköping,Gräs,Poaceae,1,1.2
2010-05-27,Norrköping,Ek,Quercus,24,1.2
2010-05-27,Norrköping,Sälg och viden,Salix,1,1.2
2010-05-27,Eskilstuna,Björk,Betula,5,1.2
2010-05-27,Eskilstuna,Gräs,Poaceae,5,1.2
2010-05-27,Eskilstuna,Ek,Quercus,3,1.2
2010-05-26,Jönköping,Björk,Betula,3,1.2
2010-05-26,Jönköping,Gräs,Poaceae,3,1.2
2010-05-26,Jönköping,Ek,Quercus,6,1.2
2010-05-26,Jönköping,Sälg och viden,Salix,1,1.2
2010-05-27,Jönköping,Björk,Betula,2,1.2
2010-05-27,Jönköping,Gräs,Poaceae,1,1.2
2010-05-27,Jönköping,Ek,Quercus,15,1.2
2010-05-26,Västervik,Björk,Betula,2,1.25
2010-05-26,Västervik,Ek,Quercus,44,1.25
2010-05-26,Västervik,Sälg och viden,Salix,1,1.25
2010-05-27,Västervik,Björk,Betula,5,1.25
2010-05-27,Västervik,Ek,Quercus,119,1.25
2010-05-28,Stockholm,Björk,Betula,2,1.2
2010-05-28,Stockholm,Gräs,Poaceae,4,1.2
2010-05-28,Stockholm,Ek,Quercus,31,1.2
2010-05-28,Stockholm,Sälg och viden,Salix,1,1.2
2010-05-29,Stockholm,Björk,Betula,5,1.2
2010-05-29,Stockholm,Gräs,Poaceae,1,1.2
2010-05-29,Stockholm,Ek,Quercus,33,1.2
2010-05-30,Stockholm,Björk,Betula,1,1.2
2010-05-30,Stockholm,Gräs,Poaceae,1,1.2
2010-05-30,Stockholm,Ek,Quercus,19,1.2
2010-05-28,Norrköping,Björk,Betula,2,1.2
2010-05-28,Norrköping,Gräs,Poaceae,3,1.2
2010-05-28,Norrköping,Ek,Quercus,40,1.2
2010-05-29,Norrköping,Björk,Betula,2,1.2
2010-05-29,Norrköping,Gräs,Poaceae,1,1.2
2010-05-29,Norrköping,Ek,Quercus,29,1.2
2010-05-30,Norrköping,Gräs,Poaceae,2,1.2
2010-05-30,Norrköping,Ek,Quercus,19,1.2
2010-05-28,Eskilstuna,Björk,Betula,1,1.2
